time,rain (mm),pressure_msl (hPa),surface_pressure (hPa),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),sunshine_duration (s)
2023-01-01T00:00,3.70,1019.0,994.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T01:00,5.70,1018.1,993.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T02:00,8.70,1016.8,992.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T03:00,10.20,1016.2,991.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T04:00,2.60,1015.3,991.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T05:00,1.40,1015.0,990.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T06:00,0.80,1014.8,990.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T07:00,1.20,1014.7,990.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T08:00,1.40,1015.1,990.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T09:00,1.40,1015.0,990.8,3.0,0.0,3.0,0.0,93.2,6.5,0.0,6.5,0.0,201.8,0.00
2023-01-01T10:00,1.70,1014.3,990.1,14.0,0.0,14.0,0.0,298.3,18.2,0.0,18.2,0.0,387.1,0.00
2023-01-01T11:00,2.90,1014.3,990.1,26.0,0.0,26.0,0.0,458.8,29.5,0.0,29.5,0.0,521.0,0.00
2023-01-01T12:00,8.40,1013.8,989.6,17.0,0.0,17.0,0.0,563.0,17.9,0.0,17.9,0.0,594.4,0.00
2023-01-01T13:00,6.60,1014.2,990.0,15.0,0.0,15.0,0.0,604.0,15.0,0.0,15.0,0.0,602.4,0.00
2023-01-01T14:00,5.50,1014.4,990.1,18.0,0.0,18.0,0.0,578.8,16.9,0.0,16.9,0.0,544.4,0.00
2023-01-01T15:00,4.40,1014.2,989.9,13.0,0.0,13.0,0.0,489.3,11.3,0.0,11.3,0.0,424.3,0.00
2023-01-01T16:00,2.30,1014.5,990.2,13.0,0.0,13.0,0.0,341.4,9.5,0.0,9.5,0.0,250.3,0.00
2023-01-01T17:00,2.10,1015.1,990.8,7.0,0.0,7.0,0.0,145.3,1.7,0.0,1.7,0.0,34.3,0.00
2023-01-01T18:00,2.40,1016.0,991.6,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T19:00,1.50,1017.0,992.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T20:00,0.80,1018.2,993.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T21:00,1.10,1019.4,994.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T22:00,0.20,1020.2,995.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-01T23:00,0.40,1021.1,996.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T00:00,0.00,1022.1,997.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T01:00,0.00,1022.0,997.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T02:00,0.00,1022.5,997.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T03:00,0.10,1023.2,998.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T04:00,0.10,1024.1,999.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T05:00,0.20,1024.8,999.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T06:00,0.00,1025.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T07:00,0.00,1025.7,1000.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T08:00,0.00,1026.2,1001.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2023-01-02T09:00,0.00,1026.6,1001.5,39.0,21.0,18.0,194.2,93.3,84.4,45.5,39.0,318.5,201.9,1653.62
