time,rain (mm),pressure_msl (hPa),surface_pressure (hPa),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),sunshine_duration (s)
2021-01-01T00:00,0.00,1016.4,991.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T01:00,0.00,1016.6,991.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T02:00,0.00,1016.6,991.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T03:00,0.00,1016.5,991.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T04:00,0.00,1016.4,991.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T05:00,0.00,1016.2,991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T06:00,0.10,1015.8,990.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T07:00,0.10,1016.0,990.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T08:00,0.10,1016.2,991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T09:00,0.00,1016.5,991.3,28.0,11.0,17.0,101.8,93.2,60.6,23.8,36.8,167.0,201.8,575.04
2021-01-01T10:00,0.00,1017.1,992.0,123.0,61.0,62.0,289.2,298.3,159.7,79.2,80.5,289.2,387.3,3600.00
2021-01-01T11:00,0.00,1017.3,992.4,251.0,158.0,93.0,486.7,459.2,285.1,179.5,105.6,486.7,521.6,3600.00
2021-01-01T12:00,0.00,1017.0,992.2,361.0,270.0,91.0,677.3,563.9,381.2,285.1,96.1,677.3,595.5,3600.00
2021-01-01T13:00,0.00,1016.2,991.5,296.0,165.0,131.0,385.6,605.2,295.3,164.6,130.7,385.6,603.8,3600.00
2021-01-01T14:00,0.00,1015.7,991.0,305.0,194.0,111.0,472.8,580.4,287.0,182.5,104.4,472.8,546.2,3600.00
2021-01-01T15:00,0.10,1015.9,991.2,237.0,145.0,92.0,417.6,491.2,205.7,125.9,79.9,417.6,426.4,3600.00
2021-01-01T16:00,0.00,1016.1,991.3,132.0,73.0,59.0,300.5,343.6,97.0,53.7,43.4,300.5,252.6,3600.00
2021-01-01T17:00,0.00,1016.4,991.5,53.0,25.0,28.0,197.2,147.7,13.2,6.2,7.0,71.4,36.7,2557.99
2021-01-01T18:00,0.00,1016.5,991.5,1.0,0.0,1.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T19:00,0.00,1016.8,991.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T20:00,0.00,1017.3,992.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T21:00,0.00,1017.7,992.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T22:00,0.00,1018.1,992.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-01T23:00,0.00,1018.2,992.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2021-01-02T00:00,0.00,1018.3,993.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
