dt,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description,date,hour,normal,economic_schedule,self-consumption
1672531200,local,12.93,12.76,12.72,13.43,1019,,,95,2.02,3.72,100,moderate rain,2023-01-01,0,0.0,0.467,0.0
1672534800,local,13.49,13.38,13.43,13.9,1018,,,95,2.18,3.26,100,moderate rain,2023-01-01,1,0.0,0.577,0.0
1672538400,local,13.55,13.44,13.48,14.82,1017,,,95,2.88,2.44,100,moderate rain,2023-01-01,2,0.0,0.346,0.0
1672542000,local,13.61,13.51,12.01,14.82,1016,,,95,3.63,1.74,100,moderate rain,2023-01-01,3,0.0,0.27,0.0
1672545600,local,13.59,13.49,12.01,14.82,1015,,,95,4.58,1.13,100,moderate rain,2023-01-01,4,0.0,0.252,0.0
1672549200,local,13.7,13.61,13.12,15.82,1014,,,95,6.36,1.23,99,moderate rain,2023-01-01,5,0.0,0.255,0.0
1672552800,local,14.22,14.18,14.04,16.12,1014,,,95,8.55,1.2,100,moderate rain,2023-01-01,6,0.0,0.256,0.0
1672556400,local,15.3,15.31,14.79,16.82,1015,,,93,8.37,2.2,100,moderate rain,2023-01-01,7,0.0,0.263,0.0
1672560000,local,16.8,16.55,15.66,16.82,1015,,,77,8.29,2.2,100,moderate rain,2023-01-01,8,0.275,0.0,0.002
1672563600,local,16.61,16.31,14.72,16.82,1014,,,76,8.38,2.13,100,moderate rain,2023-01-01,9,0.331,0.0,0.0
1672567200,local,15.03,14.86,13.72,15.15,1015,,,87,7.31,2.04,100,moderate rain,2023-01-01,10,0.271,0.0,0.0
1672570800,local,13.76,13.65,13.34,14.04,1014,,,94,7.36,3.1,100,moderate rain,2023-01-01,11,0.25,0.0,0.022
1672574400,local,14.1,14.02,13.34,14.82,1014,,,94,6.82,4.96,100,heavy intensity rain,2023-01-01,12,0.778,0.0,0.056
1672578000,local,14.1,14.05,13.9,14.82,1014,,,95,4.85,6.11,100,heavy intensity rain,2023-01-01,13,0.496,0.0,0.007
1672581600,local,13.92,13.82,12.72,14.04,1014,,,94,3.26,6.38,100,heavy intensity rain,2023-01-01,14,0.338,0.0,0.016
1672585200,local,13.5,13.36,12.57,13.82,1015,,,94,1.97,6.16,100,heavy intensity rain,2023-01-01,15,0.362,0.0,0.001
1672588800,local,13.3,13.17,11.68,13.48,1015,,,95,1.77,5.42,100,heavy intensity rain,2023-01-01,16,1.326,0.0,0.0
1672592400,local,11.83,11.55,11.72,12.32,1015,,,95,1.67,3.76,100,moderate rain,2023-01-01,17,0.631,0.0,0.0
1672596000,local,11.32,10.99,11.26,11.82,1016,,,95,2.22,2.03,100,moderate rain,2023-01-01,18,0.595,0.0,0.0
1672599600,local,10.73,10.34,10.57,11.77,1017,,,95,2.71,1.3,100,moderate rain,2023-01-01,19,2.089,0.0,0.0
