time,dew_point_2m (°C),precipitation (mm),rain (mm),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),is_day ()
2023-01-01T00:00,11.9,3.70,3.70,0.00,0.08,9.8,36.4,12.5,13.2,13.4,15.1,0
2023-01-01T01:00,11.5,5.70,5.70,0.00,0.11,11.9,24.8,12.5,13.1,13.4,15.1,0
2023-01-01T02:00,11.4,8.70,8.70,0.00,0.12,9.5,27.7,12.4,13.1,13.4,15.0,0
2023-01-01T03:00,11.6,10.20,10.20,0.00,0.14,12.1,35.3,12.4,13.0,13.4,15.0,0
2023-01-01T04:00,11.6,2.60,2.60,0.02,0.21,25.9,55.4,12.5,13.0,13.4,15.0,0
2023-01-01T05:00,11.5,1.40,1.40,0.02,0.22,26.4,56.2,12.6,13.0,13.4,15.0,0
2023-01-01T06:00,11.3,0.80,0.80,0.03,0.24,25.9,61.6,12.6,13.0,13.4,15.0,0
2023-01-01T07:00,11.3,1.20,1.20,0.03,0.24,30.3,60.8,12.5,12.9,13.4,15.0,0
2023-01-01T08:00,11.1,1.40,1.40,0.03,0.25,29.5,68.0,12.5,12.9,13.4,15.0,0
2023-01-01T09:00,10.6,1.40,1.40,0.05,0.26,27.7,65.5,12.4,12.9,13.4,15.0,1
2023-01-01T10:00,10.3,1.70,1.70,0.06,0.27,30.2,62.6,12.3,12.9,13.4,15.0,1
2023-01-01T11:00,10.5,2.90,2.90,0.06,0.23,31.7,72.0,12.2,12.8,13.4,15.0,1
2023-01-01T12:00,12.0,8.40,8.40,0.04,0.13,26.5,68.8,12.2,13.1,13.4,15.0,1
2023-01-01T13:00,12.3,6.60,6.60,0.03,0.09,21.0,52.2,12.5,13.0,13.4,15.0,1
2023-01-01T14:00,11.8,5.50,5.50,0.03,0.09,16.7,40.3,12.6,13.0,13.4,15.0,1
2023-01-01T15:00,11.7,4.40,4.40,0.02,0.07,11.4,33.5,12.5,13.0,13.4,15.0,1
2023-01-01T16:00,10.9,2.30,2.30,0.03,0.11,9.4,24.1,12.4,12.9,13.4,15.0,1
2023-01-01T17:00,10.1,2.10,2.10,0.03,0.15,10.2,20.2,12.2,12.9,13.4,15.0,1
2023-01-01T18:00,10.0,2.40,2.40,0.02,0.12,10.3,23.8,11.9,12.8,13.4,15.0,0
2023-01-01T19:00,9.4,1.50,1.50,0.00,0.14,5.8,20.5,11.6,12.8,13.4,15.0,0
2023-01-01T20:00,9.8,0.80,0.80,0.00,0.09,6.8,13.0,11.5,12.7,13.4,15.0,0
2023-01-01T21:00,8.8,1.10,1.10,0.00,0.11,12.1,26.3,11.2,12.6,13.4,15.0,0
2023-01-01T22:00,8.6,0.20,0.20,0.00,0.08,5.8,26.3,10.9,12.5,13.4,15.0,0
2023-01-01T23:00,7.9,0.40,0.40,0.00,0.08,4.8,18.7,10.4,12.4,13.4,15.0,0
2023-01-02T00:00,7.5,0.00,0.00,0.00,0.07,2.9,10.4,10.1,12.2,13.4,15.0,0
2023-01-02T01:00,7.2,0.00,0.00,0.00,0.05,5.8,7.2,9.5,12.0,13.4,15.0,0
2023-01-02T02:00,6.6,0.00,0.00,0.00,0.06,6.1,9.0,8.9,11.9,13.4,15.0,0
2023-01-02T03:00,6.2,0.10,0.10,0.00,0.06,5.6,8.6,8.5,11.7,13.4,15.0,0
2023-01-02T04:00,6.1,0.10,0.10,0.00,0.07,4.1,9.0,8.2,11.5,13.4,15.0,0
2023-01-02T05:00,5.7,0.20,0.20,0.00,0.07,4.7,7.9,8.0,11.3,13.3,15.0,0
2023-01-02T06:00,5.4,0.00,0.00,0.00,0.05,5.1,9.4,7.9,11.1,13.3,15.0,0
2023-01-02T07:00,5.2,0.00,0.00,0.00,0.05,5.4,9.7,7.6,10.9,13.3,15.0,0
2023-01-02T08:00,4.8,0.00,0.00,0.00,0.06,4.4,9.7,7.3,10.7,13.3,15.0,0
2023-01-02T09:00,5.5,0.00,0.00,0.01,0.07,5.4,8.6,7.4,10.5,13.3,15.0,1
2023-01-02T10:00,7.3,0.00,0.00,0.06,0.11,3.6,10.8,8.5,10.4,13.3,15.0,1
2023-01-02T11:00,7.9,0.00,0.00,0.12,0.22,2.0,10.4,10.0,10.3,13.3,15.0,1
2023-01-02T12:00,8.0,0.00,0.00,0.17,0.27,3.3,10.1,10.9,10.4,13.2,15.0,1
2023-01-02T13:00,7.8,0.00,0.00,0.17,0.34,3.9,16.6,11.9,10.6,13.2,15.0,1
2023-01-02T14:00,7.4,0.00,0.00,0.16,0.39,3.4,15.5,12.4,10.8,13.2,15.0,1
2023-01-02T15:00,7.0,0.00,0.00,0.13,0.42,2.9,14.0,12.7,10.9,13.2,15.0,1
2023-01-02T16:00,6.8,0.00,0.00,0.08,0.40,3.8,10.1,12.4,11.1,13.2,15.0,1
2023-01-02T17:00,6.2,0.10,0.10,0.03,0.39,4.7,7.2,11.6,11.2,13.2,15.0,1
2023-01-02T18:00,6.2,0.00,0.00,0.02,0.31,3.5,7.2,10.3,11.2,13.2,15.0,0
2023-01-02T19:00,6.2,0.00,0.00,0.00,0.26,1.1,5.4,9.3,11.2,13.2,15.0,0
2023-01-02T20:00,6.0,0.00,0.00,0.00,0.23,1.1,2.2,8.6,11.0,13.2,15.0,0
2023-01-02T21:00,5.7,0.00,0.00,0.00,0.21,2.2,2.5,8.1,10.9,13.2,15.0,0
2023-01-02T22:00,4.5,0.00,0.00,0.00,0.09,5.8,7.6,7.8,10.7,13.1,15.0,0
2023-01-02T23:00,3.9,0.00,0.00,0.00,0.09,7.2,10.4,7.5,10.6,13.1,15.0,0
2023-01-03T00:00,3.4,0.00,0.00,0.00,0.07,6.1,10.8,7.1,10.4,13.1,15.0,0
2023-01-03T01:00,2.6,0.00,0.00,0.00,0.05,5.4,10.8,6.7,10.2,13.1,15.0,0
2023-01-03T02:00,2.7,0.00,0.00,0.00,0.06,5.1,9.4,6.5,10.0,13.1,15.0,0
2023-01-03T03:00,2.2,0.00,0.00,0.00,0.05,5.9,10.4,6.2,9.8,13.1,15.0,0
2023-01-03T04:00,1.8,0.00,0.00,0.00,0.05,6.2,10.8,5.9,9.6,13.1,15.0,0
2023-01-03T05:00,1.3,0.00,0.00,0.00,0.04,6.2,10.8,5.6,9.4,13.0,15.0,0
2023-01-03T06:00,1.3,0.00,0.00,0.00,0.05,5.8,10.8,5.3,9.2,13.0,15.0,0
2023-01-03T07:00,1.2,0.00,0.00,0.00,0.05,5.4,10.8,5.2,9.0,13.0,15.0,0
2023-01-03T08:00,1.1,0.00,0.00,0.00,0.05,5.4,10.4,5.0,8.8,13.0,15.0,0
2023-01-03T09:00,2.5,0.00,0.00,0.01,0.11,7.3,12.2,5.3,8.6,12.9,15.0,1
2023-01-03T10:00,4.7,0.00,0.00,0.06,0.21,6.3,14.4,6.5,8.5,12.9,15.0,1
2023-01-03T11:00,5.9,0.00,0.00,0.12,0.33,4.4,13.7,8.1,8.5,12.9,15.0,1
2023-01-03T12:00,6.1,0.00,0.00,0.14,0.38,6.1,14.4,7.5,8.5,12.9,15.0,1
2023-01-03T13:00,5.7,0.00,0.00,0.16,0.47,5.6,15.5,9.1,8.6,12.8,15.0,1
2023-01-03T14:00,5.7,0.00,0.00,0.17,0.52,5.9,14.4,10.2,8.7,12.8,15.0,1
2023-01-03T15:00,5.7,0.00,0.00,0.15,0.54,6.2,15.5,10.8,9.0,12.8,14.9,1
2023-01-03T16:00,8.0,0.00,0.00,0.08,0.34,1.5,13.7,10.9,9.2,12.8,14.9,1
2023-01-03T17:00,6.0,0.00,0.00,0.03,0.44,3.9,6.5,10.2,9.4,12.8,14.9,1
2023-01-03T18:00,5.9,0.00,0.00,0.02,0.36,1.5,5.4,9.1,9.4,12.7,14.9,0
2023-01-03T19:00,5.3,0.00,0.00,0.00,0.24,4.4,6.5,8.2,9.4,12.7,14.9,0
2023-01-03T20:00,4.9,0.00,0.00,0.00,0.22,4.7,7.6,7.6,9.4,12.7,14.9,0
2023-01-03T21:00,4.1,0.00,0.00,0.00,0.16,5.8,7.9,7.1,9.3,12.7,14.9,0
2023-01-03T22:00,3.4,0.00,0.00,0.00,0.10,6.6,9.4,6.8,9.2,12.7,14.9,0
2023-01-03T23:00,3.1,0.00,0.00,0.00,0.10,6.2,10.1,6.4,9.1,12.7,14.9,0
2023-01-04T00:00,3.2,0.00,0.00,0.00,0.06,4.7,10.1,7.1,9.4,12.7,14.9,0
2023-01-04T01:00,3.1,0.00,0.00,0.00,0.06,4.7,10.1,6.8,9.3,12.6,14.9,0
2023-01-04T02:00,2.9,0.00,0.00,0.00,0.06,4.7,9.7,6.5,9.2,12.6,14.9,0
2023-01-04T03:00,2.7,0.00,0.00,0.00,0.05,5.1,9.7,6.2,9.0,12.6,14.9,0
2023-01-04T04:00,2.4,0.00,0.00,0.00,0.04,5.7,9.4,6.0,8.9,12.6,14.9,0
2023-01-04T05:00,2.4,0.00,0.00,0.00,0.05,5.1,9.0,5.8,8.8,12.6,14.9,0
2023-01-04T06:00,2.4,0.00,0.00,0.00,0.05,5.1,9.4,5.6,8.6,12.6,14.9,0
2023-01-04T07:00,2.2,0.00,0.00,0.00,0.04,5.4,9.4,5.4,8.5,12.5,14.9,0
2023-01-04T08:00,2.0,0.00,0.00,0.00,0.04,6.1,9.4,5.3,8.3,12.5,14.9,0
2023-01-04T09:00,3.6,0.00,0.00,0.01,0.10,5.4,9.4,5.6,8.2,12.5,14.9,1
2023-01-04T10:00,5.8,0.00,0.00,0.06,0.19,4.3,11.2,6.8,8.2,12.5,14.9,1
2023-01-04T11:00,7.5,0.00,0.00,0.13,0.30,2.7,11.2,8.4,8.2,12.4,14.9,1
2023-01-04T12:00,8.2,0.00,0.00,0.18,0.36,1.6,10.8,8.4,8.2,12.4,14.9,1
2023-01-04T13:00,8.8,0.00,0.00,0.21,0.43,0.7,9.7,10.2,8.4,12.4,14.9,1
2023-01-04T14:00,8.6,0.00,0.00,0.20,0.50,0.8,8.6,11.5,8.7,12.4,14.9,1
2023-01-04T15:00,8.6,0.00,0.00,0.15,0.50,2.5,9.0,12.0,9.0,12.4,14.9,1
2023-01-04T16:00,9.6,0.00,0.00,0.09,0.39,2.3,8.6,12.0,9.3,12.3,14.9,1
2023-01-04T17:00,8.9,0.00,0.00,0.03,0.41,3.3,5.0,11.3,9.5,12.3,14.9,1
2023-01-04T18:00,8.3,0.00,0.00,0.02,0.25,5.2,7.9,10.0,9.6,12.3,14.9,0
2023-01-04T19:00,7.3,0.00,0.00,0.00,0.14,5.4,8.3,9.1,9.7,12.3,14.9,0
2023-01-04T20:00,6.0,0.00,0.00,0.00,0.06,6.2,10.4,8.4,9.7,12.3,14.9,0
2023-01-04T21:00,5.0,0.00,0.00,0.00,0.04,5.4,10.1,7.9,9.6,12.3,14.9,0
2023-01-04T22:00,4.3,0.00,0.00,0.00,0.04,4.7,9.0,7.4,9.5,12.3,14.9,0
2023-01-04T23:00,3.7,0.00,0.00,0.00,0.05,4.4,8.6,7.0,9.4,12.3,14.9,0
2023-01-05T00:00,3.6,0.00,0.00,0.00,0.05,6.3,9.0,7.3,9.6,12.3,14.9,0
2023-01-05T01:00,3.1,0.00,0.00,0.00,0.06,6.2,12.2,6.9,9.5,12.2,14.9,0
2023-01-05T02:00,2.9,0.00,0.00,0.00,0.07,6.8,12.2,6.5,9.3,12.2,14.9,0
2023-01-05T03:00,2.7,0.00,0.00,0.00,0.07,6.8,12.6,6.2,9.2,12.2,14.9,0
2023-01-05T04:00,2.6,0.00,0.00,0.00,0.06,7.2,12.6,6.0,9.0,12.2,14.9,0
2023-01-05T05:00,2.3,0.00,0.00,0.00,0.06,7.6,12.6,5.7,8.9,12.2,14.9,0
2023-01-05T06:00,2.1,0.00,0.00,0.00,0.06,6.9,12.6,5.5,8.7,12.2,14.9,0
2023-01-05T07:00,2.0,0.00,0.00,0.00,0.06,6.6,12.2,5.3,8.6,12.2,14.9,0
2023-01-05T08:00,1.9,0.00,0.00,0.00,0.06,6.3,12.2,5.2,8.4,12.1,14.9,0
2023-01-05T09:00,3.1,0.00,0.00,0.01,0.12,7.0,11.9,5.5,8.3,12.1,14.9,1
2023-01-05T10:00,5.1,0.00,0.00,0.06,0.18,5.1,13.7,6.6,8.2,12.1,14.9,1
2023-01-05T11:00,6.5,0.00,0.00,0.12,0.31,3.7,12.6,8.2,8.2,12.1,14.8,1
2023-01-05T12:00,7.0,0.00,0.00,0.18,0.41,6.4,15.1,8.5,8.3,12.1,14.8,1
2023-01-05T13:00,6.7,0.00,0.00,0.21,0.55,8.7,19.4,10.0,8.4,12.0,14.8,1
2023-01-05T14:00,5.8,0.00,0.00,0.21,0.67,8.7,19.8,11.0,8.6,12.0,14.8,1
2023-01-05T15:00,5.3,0.00,0.00,0.17,0.69,7.9,18.7,11.4,8.9,12.0,14.8,1
2023-01-05T16:00,7.4,0.00,0.00,0.10,0.46,4.2,16.2,11.4,9.1,12.0,14.8,1
2023-01-05T17:00,5.7,0.00,0.00,0.04,0.50,6.4,10.1,10.4,9.3,12.0,14.8,1
2023-01-05T18:00,5.5,0.00,0.00,0.03,0.41,4.7,9.4,9.1,9.4,12.0,14.8,0
2023-01-05T19:00,4.3,0.00,0.00,0.00,0.15,6.8,9.7,8.1,9.4,12.0,14.8,0
2023-01-05T20:00,3.6,0.00,0.00,0.00,0.10,7.4,11.5,7.3,9.3,12.0,14.8,0
2023-01-05T21:00,2.9,0.00,0.00,0.00,0.07,6.9,11.2,6.7,9.2,11.9,14.8,0
2023-01-05T22:00,2.4,0.00,0.00,0.00,0.06,5.8,10.8,6.2,9.1,11.9,14.8,0
2023-01-05T23:00,1.9,0.00,0.00,0.00,0.06,5.5,10.8,5.9,8.9,11.9,14.8,0
2023-01-06T00:00,2.1,0.00,0.00,0.00,0.07,6.6,11.2,6.2,8.9,11.9,14.8,0
2023-01-06T01:00,1.9,0.00,0.00,0.00,0.07,5.9,12.6,5.9,8.7,11.9,14.8,0
2023-01-06T02:00,2.1,0.00,0.00,0.00,0.08,5.6,11.5,5.7,8.6,11.9,14.8,0
2023-01-06T03:00,2.9,0.00,0.00,0.00,0.11,4.9,10.8,5.8,8.5,11.9,14.8,0
2023-01-06T04:00,3.2,0.00,0.00,0.00,0.11,5.5,10.4,5.9,8.4,11.9,14.8,0
2023-01-06T05:00,3.6,0.00,0.00,0.00,0.11,6.3,11.9,5.9,8.3,11.8,14.8,0
2023-01-06T06:00,4.1,0.00,0.00,0.00,0.13,7.2,14.4,6.0,8.2,11.8,14.8,0
2023-01-06T07:00,4.3,0.00,0.00,0.00,0.11,7.2,14.8,6.1,8.1,11.8,14.8,0
2023-01-06T08:00,4.0,0.00,0.00,0.00,0.09,7.4,14.8,6.0,8.0,11.8,14.8,0
2023-01-06T09:00,4.6,0.00,0.00,0.01,0.11,10.1,18.7,6.2,8.0,11.8,14.8,1
2023-01-06T10:00,5.9,0.00,0.00,0.06,0.16,9.5,20.9,7.1,8.0,11.8,14.8,1
2023-01-06T11:00,6.7,0.00,0.00,0.11,0.25,9.5,21.2,8.2,8.0,11.7,14.8,1
2023-01-06T12:00,6.3,0.00,0.00,0.14,0.32,12.3,24.8,7.6,7.9,11.7,14.8,1
2023-01-06T13:00,6.6,0.00,0.00,0.13,0.36,13.0,26.3,8.7,8.0,11.7,14.8,1
2023-01-06T14:00,7.0,0.00,0.00,0.14,0.37,14.9,29.9,9.5,8.2,11.7,14.8,1
2023-01-06T15:00,7.1,0.00,0.00,0.12,0.38,13.5,30.2,9.9,8.3,11.7,14.8,1
2023-01-06T16:00,7.3,0.00,0.00,0.08,0.34,9.8,26.6,10.0,8.5,11.6,14.8,1
2023-01-06T17:00,7.7,0.20,0.20,0.04,0.28,9.1,19.4,9.8,8.7,11.6,14.8,1
2023-01-06T18:00,7.1,0.20,0.20,0.03,0.18,10.7,21.2,9.2,8.8,11.6,14.8,0
2023-01-06T19:00,6.2,0.10,0.10,0.01,0.18,11.8,24.1,8.7,8.9,11.6,14.8,0
2023-01-06T20:00,6.3,0.10,0.10,0.01,0.22,13.1,27.7,8.6,8.9,11.6,14.8,0
2023-01-06T21:00,6.8,0.10,0.10,0.01,0.23,13.5,26.6,8.7,9.0,11.6,14.8,0
2023-01-06T22:00,7.6,0.00,0.00,0.01,0.20,15.8,31.0,8.8,9.0,11.6,14.8,0
2023-01-06T23:00,8.1,0.40,0.40,0.01,0.17,17.9,35.3,8.9,9.0,11.6,14.8,0
2023-01-07T00:00,7.6,0.00,0.00,0.02,0.23,18.1,37.1,10.3,9.4,11.6,14.8,0
2023-01-07T01:00,8.4,0.00,0.00,0.02,0.21,18.2,36.7,10.1,9.5,11.6,14.7,0
2023-01-07T02:00,9.0,0.00,0.00,0.02,0.22,22.5,44.6,10.1,9.5,11.6,14.7,0
2023-01-07T03:00,9.6,1.20,1.20,0.02,0.18,23.4,46.1,10.1,9.6,11.6,14.7,0
2023-01-07T04:00,10.1,2.10,2.10,0.01,0.12,25.2,53.3,10.2,9.7,11.6,14.7,0
2023-01-07T05:00,10.3,3.30,3.30,0.01,0.12,29.9,60.1,10.3,9.8,11.5,14.7,0
2023-01-07T06:00,10.3,5.30,5.30,0.01,0.10,28.2,61.9,10.3,9.9,11.5,14.7,0
2023-01-07T07:00,10.7,10.90,10.90,0.00,0.09,26.6,61.9,10.4,9.9,11.5,14.7,0
2023-01-07T08:00,11.0,6.20,6.20,0.00,0.08,27.0,59.4,10.6,10.0,11.5,14.7,0
2023-01-07T09:00,11.6,12.00,12.00,0.02,0.06,22.9,56.9,10.8,10.1,11.5,14.7,1
2023-01-07T10:00,12.1,5.10,5.10,0.03,0.08,22.1,50.0,11.2,10.2,11.5,14.7,1
2023-01-07T11:00,12.9,2.70,2.70,0.02,0.04,19.7,43.2,11.5,10.3,11.5,14.7,1
2023-01-07T12:00,12.6,5.00,5.00,0.03,0.07,22.4,40.3,12.2,10.4,11.5,14.7,1
2023-01-07T13:00,12.0,2.00,2.00,0.04,0.11,17.4,44.3,12.1,10.6,11.5,14.7,1
2023-01-07T14:00,11.5,0.90,0.90,0.03,0.12,16.0,40.7,11.9,10.7,11.5,14.7,1
2023-01-07T15:00,11.6,0.50,0.50,0.04,0.12,12.2,31.0,11.9,10.8,11.5,14.7,1
