dt,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description,date,hour,normal,economic_schedule,self-consumption,injection,rain,sealevel_pressure,surface_pressure,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation_instant,sunshine_duration
1632873600,local,13.97,13.54,11.45,14.04,1027,,,81,1.96,,87,overcast clouds,2021-09-29,0,0.0,0.0,0.0,None,0.0,1027.9,1004.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632877200,local,13.48,13.02,13.43,13.9,1028,,,82,1.83,,91,overcast clouds,2021-09-29,1,0.0,0.0,0.0,None,0.0,1027.9,1004.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632880800,local,12.93,12.47,12.72,13.43,1027,,,84,1.96,,93,overcast clouds,2021-09-29,2,0.0,0.0,0.0,None,0.0,1027.8,1004.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632884400,local,12.61,12.15,10.34,12.93,1027,,,85,1.85,,95,overcast clouds,2021-09-29,3,0.0,0.0,0.0,None,0.0,1027.6,1004.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632888000,local,12.61,12.17,9.79,12.93,1027,,,86,1.83,,93,overcast clouds,2021-09-29,4,0.0,0.0,0.0,None,0.0,1027.8,1004.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632891600,local,12.62,12.16,11.72,12.93,1028,,,85,2.04,,90,overcast clouds,2021-09-29,5,0.0,0.0,0.0,None,0.0,1027.9,1004.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632895200,local,12.61,12.09,11.12,12.93,1028,,,83,1.98,,83,broken clouds,2021-09-29,6,0.0,0.0,0.0,None,0.0,1028.2,1004.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632898800,local,13.27,12.69,10.34,13.48,1028,,,78,2.34,,87,overcast clouds,2021-09-29,7,0.0,0.0,0.0,None,0.0,1028.3,1004.8,9.0,3.0,6.0,37.5,49.9,21.5,7.2,14.4,82.0,119.3,0.0
1632902400,local,16.14,15.77,11.77,16.26,1029,,,75,2.15,,65,broken clouds,2021-09-29,8,0.0,0.0,0.0,None,0.0,1028.8,1005.5,130.0,83.0,47.0,455.9,248.3,195.9,125.1,70.8,455.9,374.1,3600.0
1632906000,local,18.85,18.54,15.57,19.04,1029,,,67,1.76,,18,few clouds,2021-09-29,9,0.0,0.0,0.0,None,0.0,1028.9,1005.8,310.0,241.0,69.0,670.1,490.4,379.8,295.2,84.5,670.1,600.8,3600.0
1632909600,local,19.83,19.59,17.57,20.15,1029,,,66,2.09,,3,sky is clear,2021-09-29,10,0.0,0.0,0.0,None,0.0,1028.7,1005.8,476.0,388.0,88.0,759.7,696.4,535.7,436.7,99.0,759.7,783.7,3600.0
1632913200,local,20.71,20.53,20.57,21.77,1029,,,65,2.69,,12,few clouds,2021-09-29,11,0.0,0.0,0.0,None,0.0,1028.6,1005.8,607.0,512.0,95.0,819.3,852.1,648.6,547.1,101.5,819.3,910.5,3600.0
1632916800,local,21.76,21.66,20.72,22.23,1028,,,64,2.86,,25,scattered clouds,2021-09-29,12,0.0,0.0,0.0,None,0.0,1028.5,1005.8,694.0,603.0,91.0,868.3,947.0,712.6,619.2,93.4,868.3,972.4,3600.0
1632920400,local,22.82,22.75,19.72,24.54,1028,,,61,2.78,,26,scattered clouds,2021-09-29,13,0.0,0.0,0.0,None,0.0,1027.7,1005.0,669.0,537.0,132.0,751.4,974.5,662.6,531.9,130.7,751.4,965.2,3600.0
1632924000,local,23.34,23.32,20.72,23.48,1027,,,61,2.71,,31,scattered clouds,2021-09-29,14,0.0,0.0,0.0,None,0.0,1027.1,1004.5,679.0,584.0,95.0,853.8,932.8,647.5,556.9,90.6,853.8,889.4,3600.0
1632927600,local,23.83,23.81,20.72,24.04,1027,,,59,2.95,,44,scattered clouds,2021-09-29,15,0.215,0.0,0.0,None,0.0,1026.7,1004.1,584.0,496.0,88.0,820.3,824.6,531.3,451.2,80.1,820.3,750.2,3600.0
1632931200,local,23.8,23.75,20.72,24.04,1026,,,58,3.36,,25,scattered clouds,2021-09-29,16,0.433,0.0,0.149,Low,0.0,1026.4,1003.8,444.0,363.0,81.0,753.0,657.4,376.1,307.5,68.6,753.0,556.9,3600.0
1632934800,local,22.99,22.94,19.72,23.48,1026,,,61,3.22,,21,few clouds,2021-09-29,17,0.292,0.0,0.315,Low,0.0,1026.3,1003.6,267.0,194.0,73.0,597.9,442.5,194.8,141.5,53.3,597.9,322.8,3600.0
1632938400,local,21.51,21.41,19.55,21.82,1026,,,65,3.44,,10,sky is clear,2021-09-29,18,0.522,0.0,0.06,None,0.0,1026.4,1003.5,85.0,33.0,52.0,212.4,194.5,27.9,10.8,17.1,124.2,63.8,3120.36
1632942000,local,20.19,20.07,16.72,20.7,1027,,,69,3.21,,2,sky is clear,2021-09-29,19,0.581,0.0,0.0,None,0.0,1026.8,1003.8,2.0,0.0,2.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0
1632945600,local,19.09,18.93,15.72,19.59,1027,,,72,2.98,,10,sky is clear,2021-09-29,20,0.506,0.0,0.0,None,0.0,1027.2,1004.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632949200,local,18.25,18.06,14.72,18.48,1027,,,74,2.8,,11,few clouds,2021-09-29,21,0.534,0.0,0.0,None,0.0,1027.4,1004.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632952800,local,17.74,17.63,14.72,17.93,1027,,,79,2.47,,16,few clouds,2021-09-29,22,0.726,0.0,0.0,None,0.0,1027.2,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632956400,local,17.96,17.69,13.72,18.48,1027,,,72,2.4,,5,sky is clear,2021-09-29,23,0.662,0.0,0.0,None,0.0,1026.9,1003.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632960000,local,13.97,13.69,12.72,15.66,1027,,,87,2.07,,39,scattered clouds,2021-09-30,0,0.704,0.0,0.0,None,0.0,1026.6,1003.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632963600,local,17.34,16.98,12.72,17.93,1026,,,71,1.93,,88,overcast clouds,2021-09-30,1,0.466,0.0,0.0,None,0.0,1026.5,1003.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632967200,local,13.73,13.46,12.57,15.1,1026,,,88,1.81,,98,overcast clouds,2021-09-30,2,0.356,0.0,0.0,None,0.0,1026.1,1002.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632970800,local,12.92,12.62,11.72,14.54,1025,,,90,1.78,,73,broken clouds,2021-09-30,3,0.355,0.0,0.0,None,0.0,1025.8,1002.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632974400,local,12.88,12.6,11.72,14.54,1025,,,91,1.77,,42,scattered clouds,2021-09-30,4,0.346,0.0,0.0,None,0.0,1025.6,1002.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632978000,local,17.16,16.84,10.72,17.37,1025,,,73,1.83,,28,scattered clouds,2021-09-30,5,0.351,0.0,0.0,None,0.0,1025.6,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632981600,local,11.58,11.17,10.72,13.43,1025,,,91,1.81,,40,scattered clouds,2021-09-30,6,0.454,0.0,0.0,None,0.0,1025.7,1002.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632985200,local,11.67,11.24,10.72,15.11,1026,,,90,1.71,,2,sky is clear,2021-09-30,7,0.372,0.0,0.002,None,0.0,1025.8,1002.3,9.0,3.0,6.0,38.3,47.5,21.7,7.2,14.5,83.0,114.6,0.0
1632988800,local,19.4,19.07,14.54,19.59,1026,,,64,1.86,,0,sky is clear,2021-09-30,8,0.366,0.0,0.228,Medium,0.0,1026.1,1002.9,128.0,84.0,44.0,470.5,243.6,194.1,127.4,66.7,470.5,369.4,3600.0
