temp,feels_like,temp_min,temp_max,pressure,humidity,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),weather_description_encoded
13.97,13.54,11.45,14.04,1027,81,0,0.0,0.0,0.0,None,5
13.48,13.02,13.43,13.9,1028,82,1,0.0,0.0,0.0,None,5
12.93,12.47,12.72,13.43,1027,84,2,0.0,0.0,0.0,None,5
12.61,12.15,10.34,12.93,1027,85,3,0.0,0.0,0.0,None,5
12.61,12.17,9.79,12.93,1027,86,4,0.0,0.0,0.0,None,5
12.62,12.16,11.72,12.93,1028,85,5,0.0,0.0,0.0,None,5
12.61,12.09,11.12,12.93,1028,83,6,0.0,0.0,0.0,None,0
13.27,12.69,10.34,13.48,1028,78,7,0.0,0.0,0.0,None,5
16.14,15.77,11.77,16.26,1029,75,8,0.0,0.0,0.0,None,0
18.85,18.54,15.57,19.04,1029,67,9,0.0,0.0,0.0,None,1
19.83,19.59,17.57,20.15,1029,66,10,0.0,0.0,0.0,None,7
20.71,20.53,20.57,21.77,1029,65,11,0.0,0.0,0.0,None,1
21.76,21.66,20.72,22.23,1028,64,12,0.0,0.0,0.0,None,6
22.82,22.75,19.72,24.54,1028,61,13,0.0,0.0,0.0,None,6
23.34,23.32,20.72,23.48,1027,61,14,0.0,0.0,0.0,None,6
23.83,23.81,20.72,24.04,1027,59,15,0.215,0.0,0.0,None,6
23.8,23.75,20.72,24.04,1026,58,16,0.433,0.0,0.149,Low,6
22.99,22.94,19.72,23.48,1026,61,17,0.292,0.0,0.315,Low,1
21.51,21.41,19.55,21.82,1026,65,18,0.522,0.0,0.06,None,7
20.19,20.07,16.72,20.7,1027,69,19,0.581,0.0,0.0,None,7
19.09,18.93,15.72,19.59,1027,72,20,0.506,0.0,0.0,None,7
18.25,18.06,14.72,18.48,1027,74,21,0.534,0.0,0.0,None,1
17.74,17.63,14.72,17.93,1027,79,22,0.726,0.0,0.0,None,1
17.96,17.69,13.72,18.48,1027,72,23,0.662,0.0,0.0,None,7
13.97,13.69,12.72,15.66,1027,87,0,0.704,0.0,0.0,None,6
17.34,16.98,12.72,17.93,1026,71,1,0.466,0.0,0.0,None,5
13.73,13.46,12.57,15.1,1026,88,2,0.356,0.0,0.0,None,5
12.92,12.62,11.72,14.54,1025,90,3,0.355,0.0,0.0,None,0
12.88,12.6,11.72,14.54,1025,91,4,0.346,0.0,0.0,None,6
17.16,16.84,10.72,17.37,1025,73,5,0.351,0.0,0.0,None,6
11.58,11.17,10.72,13.43,1025,91,6,0.454,0.0,0.0,None,6
11.67,11.24,10.72,15.11,1026,90,7,0.372,0.0,0.002,None,7
19.4,19.07,14.54,19.59,1026,64,8,0.366,0.0,0.228,Medium,7
20.63,20.37,18.34,20.7,1026,62,9,0.0,0.0,0.268,High,6
22.31,22.22,19.72,22.88,1026,62,10,0.0,0.0,0.268,High,0
22.94,22.91,22.79,23.99,1026,62,11,0.0,0.0,0.278,Very High,6
24.49,24.4,20.72,24.59,1025,54,12,0.026,0.0,0.352,Very High,0
24.9,24.91,19.72,25.57,1024,56,13,0.003,0.0,0.378,High,5
26.2,26.2,23.44,26.26,1024,51,14,0.0,0.0,0.45,High,1
26.48,26.48,21.72,26.82,1023,49,15,0.0,0.0,0.42,High,1
25.84,25.81,19.72,26.26,1023,51,16,0.054,0.0,0.35,High,7
23.67,23.69,17.72,24.23,1023,61,17,0.105,0.0,0.216,Low,7
22.02,22.03,16.72,23.12,1023,67,18,0.419,0.0,0.032,None,0
19.9,19.9,15.72,20.9,1023,75,19,0.341,0.0,0.0,None,5
18.78,18.72,14.72,19.79,1023,77,20,0.585,0.0,0.0,None,5
18.23,18.2,14.72,18.48,1024,80,21,0.523,0.0,0.0,None,5
17.62,17.53,12.72,17.93,1023,80,22,0.562,0.0,0.0,None,5
17.67,17.63,13.72,17.93,1023,82,23,0.599,0.0,0.0,None,5
16.63,16.57,13.72,16.82,1023,85,0,0.611,0.0,0.0,None,5
16.05,15.96,12.72,16.26,1023,86,1,0.557,0.0,0.0,None,5
16.15,16.04,12.72,16.26,1022,85,2,0.446,0.0,0.0,None,5
16.14,16.11,12.72,16.26,1022,88,3,0.336,0.0,0.0,None,1
15.07,14.96,12.72,15.15,1022,89,4,0.306,0.0,0.0,None,0
15.6,15.57,12.72,15.7,1022,90,5,0.268,0.0,0.0,None,5
15.44,15.36,11.72,15.7,1022,89,6,0.279,0.0,0.0,None,5
14.97,14.9,12.72,15.15,1022,91,7,0.281,0.0,0.0,None,5
15.63,15.62,13.72,15.7,1023,91,8,0.585,0.0,0.047,None,5
15.71,15.56,15.66,16.78,1023,85,9,0.064,0.0,0.187,Low,5
18.84,18.74,17.79,20.11,1023,75,10,0.005,0.0,0.248,High,5
20.39,20.23,19.72,21.77,1023,67,11,0.0,0.0,0.258,Very High,5
21.2,21.07,19.72,22.57,1023,65,12,0.0,0.0,0.262,Very High,0
22.24,22.03,19.72,23.68,1023,58,13,0.025,0.0,0.329,Very High,0
23.28,23.23,19.72,25.34,1022,60,14,0.014,0.0,0.34,High,5
23.77,23.82,19.72,24.04,1022,62,15,0.02,0.0,0.373,High,5
23.19,23.42,18.72,23.48,1022,71,16,0.052,0.0,0.376,Medium,5
21.63,21.86,18.72,22.01,1021,77,17,0.189,0.0,0.267,Low,5
20.52,20.72,17.72,20.7,1022,80,18,0.714,0.0,0.034,None,5
