time,dew_point_2m (°C),precipitation (mm),rain (mm),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),is_day ()
2021-01-01T00:00,2.2,0.00,0.00,0.00,0.06,6.6,17.3,4.2,7.7,9.9,14.4,0
2021-01-01T01:00,1.0,0.00,0.00,0.00,0.05,6.9,20.9,3.8,7.5,9.9,14.4,0
2021-01-01T02:00,-0.2,0.00,0.00,0.00,0.04,9.2,17.3,3.5,7.2,9.9,14.4,0
2021-01-01T03:00,-0.3,0.00,0.00,0.00,0.04,8.0,17.6,3.0,7.0,9.9,14.4,0
2021-01-01T04:00,1.6,0.00,0.00,0.00,0.07,4.8,15.1,2.6,6.8,9.9,14.4,0
2021-01-01T05:00,1.5,0.00,0.00,0.00,0.06,2.2,10.8,2.5,6.5,9.9,14.4,0
2021-01-01T06:00,0.0,0.10,0.10,0.00,0.01,4.4,8.6,2.5,6.3,9.9,14.4,0
2021-01-01T07:00,0.9,0.10,0.10,0.00,0.00,4.5,8.3,2.7,6.1,9.8,14.4,0
2021-01-01T08:00,1.8,0.10,0.10,0.00,0.01,6.3,10.1,3.0,6.0,9.8,14.4,0
2021-01-01T09:00,2.2,0.00,0.00,0.01,0.03,4.5,10.1,3.3,5.8,9.8,14.4,1
2021-01-01T10:00,3.3,0.00,0.00,0.04,0.04,3.1,10.8,4.2,5.8,9.8,14.4,1
2021-01-01T11:00,4.1,0.00,0.00,0.09,0.10,1.1,11.9,5.6,5.8,9.8,14.3,1
2021-01-01T12:00,2.9,0.00,0.00,0.13,0.25,12.3,23.8,6.4,6.0,9.8,14.3,1
2021-01-01T13:00,2.6,0.00,0.00,0.13,0.34,13.0,30.2,7.0,6.1,9.8,14.3,1
2021-01-01T14:00,2.7,0.00,0.00,0.13,0.36,13.8,32.0,7.6,6.3,9.7,14.3,1
2021-01-01T15:00,3.7,0.10,0.10,0.10,0.24,14.5,34.2,7.7,6.5,9.7,14.3,1
2021-01-01T16:00,3.7,0.00,0.00,0.06,0.22,13.0,30.2,7.5,6.6,9.7,14.3,1
2021-01-01T17:00,3.9,0.00,0.00,0.02,0.13,6.7,26.6,7.1,6.7,9.7,14.3,1
2021-01-01T18:00,3.3,0.00,0.00,0.01,0.10,6.5,15.8,6.3,6.8,9.7,14.3,0
2021-01-01T19:00,2.3,0.00,0.00,0.00,0.07,6.0,15.1,5.6,6.8,9.7,14.3,0
2021-01-01T20:00,1.1,0.00,0.00,0.00,0.05,7.6,15.5,4.8,6.7,9.7,14.3,0
2021-01-01T21:00,0.8,0.00,0.00,0.00,0.05,7.5,15.8,4.2,6.6,9.7,14.3,0
2021-01-01T22:00,-0.0,0.00,0.00,0.00,0.04,8.6,16.6,3.7,6.5,9.7,14.3,0
2021-01-01T23:00,-0.2,0.00,0.00,0.00,0.05,8.7,17.3,3.1,6.4,9.7,14.3,0
2021-01-02T00:00,1.2,0.00,0.00,0.00,0.09,5.1,15.8,2.6,6.3,9.6,14.3,0
2021-01-02T01:00,1.0,0.00,0.00,0.00,0.07,2.6,10.4,2.2,6.1,9.6,14.3,0
2021-01-02T02:00,-0.7,0.00,0.00,0.00,0.03,3.6,7.6,2.0,5.9,9.6,14.3,0
2021-01-02T03:00,-1.8,0.00,0.00,0.00,0.02,4.0,8.6,1.8,5.7,9.6,14.3,0
2021-01-02T04:00,-2.1,0.00,0.00,0.00,0.02,4.0,8.3,1.7,5.5,9.6,14.3,0
2021-01-02T05:00,-2.8,0.00,0.00,0.00,0.03,4.7,9.4,1.4,5.3,9.6,14.3,0
2021-01-02T06:00,-3.2,0.00,0.00,0.00,0.04,5.8,10.1,1.2,5.1,9.6,14.3,0
2021-01-02T07:00,-3.2,0.00,0.00,0.00,0.03,5.4,10.1,1.0,4.9,9.5,14.3,0
2021-01-02T08:00,-3.2,0.00,0.00,0.00,0.03,5.6,9.7,0.8,4.7,9.5,14.3,0
2021-01-02T09:00,-1.1,0.00,0.00,0.00,0.03,6.0,11.5,1.1,4.5,9.5,14.3,1
2021-01-02T10:00,0.9,0.00,0.00,0.04,0.06,3.6,12.2,2.2,4.4,9.5,14.3,1
2021-01-02T11:00,2.1,0.00,0.00,0.10,0.14,0.8,11.9,3.8,4.5,9.4,14.2,1
2021-01-02T12:00,2.9,0.00,0.00,0.13,0.17,4.6,12.2,5.1,4.6,9.4,14.2,1
2021-01-02T13:00,3.2,0.00,0.00,0.15,0.25,5.6,16.6,6.3,4.8,9.4,14.2,1
2021-01-02T14:00,2.9,0.00,0.00,0.15,0.33,7.5,19.1,7.1,5.0,9.4,14.2,1
2021-01-02T15:00,1.9,0.00,0.00,0.13,0.43,9.2,20.2,7.5,5.3,9.4,14.2,1
2021-01-02T16:00,2.9,0.00,0.00,0.09,0.31,11.1,22.7,7.4,5.5,9.4,14.2,1
2021-01-02T17:00,2.8,0.00,0.00,0.02,0.15,9.5,22.3,6.7,5.7,9.3,14.2,1
2021-01-02T18:00,2.0,0.00,0.00,0.02,0.10,7.9,20.2,5.7,5.8,9.3,14.2,0
2021-01-02T19:00,1.1,0.00,0.00,0.00,0.08,7.3,16.9,4.8,5.9,9.3,14.2,0
2021-01-02T20:00,0.3,0.00,0.00,0.00,0.07,8.2,15.8,4.1,5.8,9.3,14.2,0
2021-01-02T21:00,-0.4,0.00,0.00,0.00,0.06,9.0,16.2,3.4,5.7,9.3,14.2,0
2021-01-02T22:00,-1.0,0.00,0.00,0.00,0.05,9.2,16.2,2.8,5.6,9.3,14.2,0
2021-01-02T23:00,-1.1,0.00,0.00,0.00,0.06,7.6,15.8,2.3,5.5,9.3,14.2,0
2021-01-03T00:00,-1.4,0.00,0.00,0.00,0.06,6.2,13.7,2.5,5.5,9.3,14.2,0
2021-01-03T01:00,-2.5,0.00,0.00,0.00,0.05,5.8,10.8,2.0,5.3,9.3,14.2,0
2021-01-03T02:00,-2.8,0.00,0.00,0.00,0.04,6.4,11.5,1.6,5.2,9.2,14.2,0
2021-01-03T03:00,-3.1,0.00,0.00,0.00,0.05,6.0,11.5,1.3,5.0,9.2,14.2,0
2021-01-03T04:00,-3.3,0.00,0.00,0.00,0.05,5.4,11.2,1.0,4.8,9.2,14.2,0
2021-01-03T05:00,-3.2,0.00,0.00,0.00,0.05,4.0,10.1,0.7,4.6,9.2,14.2,0
2021-01-03T06:00,-3.6,0.00,0.00,0.00,0.05,4.3,9.0,0.6,4.4,9.2,14.2,0
2021-01-03T07:00,-3.7,0.00,0.00,0.00,0.05,4.4,9.0,0.5,4.3,9.1,14.2,0
2021-01-03T08:00,-3.4,0.00,0.00,0.00,0.06,4.1,9.0,0.4,4.1,9.1,14.2,0
2021-01-03T09:00,-1.6,0.00,0.00,0.00,0.10,3.9,8.6,0.6,4.0,9.1,14.2,1
2021-01-03T10:00,0.7,0.00,0.00,0.05,0.13,3.6,10.8,1.7,3.9,9.1,14.1,1
2021-01-03T11:00,1.8,0.00,0.00,0.09,0.19,1.1,10.4,3.3,3.9,9.1,14.1,1
2021-01-03T12:00,2.7,0.00,0.00,0.13,0.19,1.4,13.0,3.2,3.7,9.0,14.1,1
2021-01-03T13:00,3.4,0.00,0.00,0.12,0.24,6.7,16.6,4.8,3.8,9.0,14.1,1
2021-01-03T14:00,2.4,0.00,0.00,0.14,0.36,9.2,20.9,5.8,4.1,9.0,14.1,1
2021-01-03T15:00,2.2,0.00,0.00,0.11,0.38,11.0,23.4,6.2,4.3,9.0,14.1,1
2021-01-03T16:00,3.4,0.00,0.00,0.05,0.25,9.2,23.0,6.2,4.5,8.9,14.1,1
2021-01-03T17:00,3.6,0.10,0.10,0.02,0.12,4.6,19.1,5.8,4.7,8.9,14.1,1
2021-01-03T18:00,3.7,0.40,0.40,0.01,0.10,5.1,13.0,5.3,4.9,8.9,14.1,0
2021-01-03T19:00,3.8,0.20,0.20,0.00,0.07,4.4,13.0,5.0,5.0,8.9,14.1,0
2021-01-03T20:00,3.8,0.40,0.40,0.00,0.07,3.8,11.2,4.7,5.1,8.9,14.1,0
2021-01-03T21:00,3.5,0.10,0.10,0.00,0.06,1.9,8.3,4.2,5.1,8.9,14.1,0
2021-01-03T22:00,3.7,0.00,0.00,0.00,0.09,1.4,5.4,3.6,5.1,8.9,14.1,0
2021-01-03T23:00,3.4,0.00,0.00,0.00,0.07,3.9,7.6,3.0,5.0,8.9,14.1,0
2021-01-04T00:00,2.9,0.00,0.00,0.00,0.03,4.8,9.7,3.0,5.2,8.8,14.1,0
2021-01-04T01:00,1.1,0.00,0.00,0.00,0.00,6.8,10.4,2.6,5.1,8.8,14.1,0
2021-01-04T02:00,1.5,0.00,0.00,0.00,0.00,5.2,10.8,2.6,5.0,8.8,14.1,0
2021-01-04T03:00,1.3,0.00,0.00,0.00,0.00,4.7,9.7,2.6,4.9,8.8,14.1,0
2021-01-04T04:00,0.5,0.00,0.00,0.00,0.01,6.4,9.7,2.5,4.8,8.8,14.1,0
2021-01-04T05:00,0.5,0.00,0.00,0.00,0.01,5.4,9.7,2.4,4.7,8.8,14.1,0
2021-01-04T06:00,0.8,0.00,0.00,0.00,0.01,4.1,8.3,2.4,4.6,8.8,14.1,0
2021-01-04T07:00,-0.2,0.00,0.00,0.00,0.00,4.7,8.3,2.2,4.6,8.7,14.0,0
2021-01-04T08:00,-0.4,0.00,0.00,0.00,0.01,4.7,8.3,2.0,4.5,8.7,14.0,0
2021-01-04T09:00,0.6,0.00,0.00,0.00,0.02,4.7,10.1,2.2,4.4,8.7,14.0,1
2021-01-04T10:00,1.9,0.00,0.00,0.03,0.03,3.2,10.8,3.0,4.4,8.7,14.0,1
2021-01-04T11:00,3.4,0.00,0.00,0.08,0.05,2.0,11.9,4.3,4.4,8.7,14.0,1
2021-01-04T12:00,3.6,0.00,0.00,0.13,0.11,1.1,11.9,5.0,4.7,8.7,14.0,1
2021-01-04T13:00,3.2,0.00,0.00,0.15,0.21,3.3,13.7,6.4,4.8,8.7,14.0,1
2021-01-04T14:00,2.5,0.00,0.00,0.14,0.29,4.6,14.8,7.1,5.1,8.6,14.0,1
2021-01-04T15:00,1.8,0.00,0.00,0.12,0.35,4.8,15.1,7.4,5.3,8.6,14.0,1
2021-01-04T16:00,2.0,0.00,0.00,0.07,0.32,5.1,13.3,7.2,5.5,8.6,14.0,1
2021-01-04T17:00,1.9,0.00,0.00,0.02,0.14,7.7,11.5,6.5,5.7,8.6,14.0,1
2021-01-04T18:00,0.8,0.00,0.00,0.02,0.14,8.0,12.6,5.3,5.7,8.6,14.0,0
2021-01-04T19:00,-0.7,0.00,0.00,0.00,0.10,9.6,14.8,4.2,5.7,8.6,14.0,0
2021-01-04T20:00,-1.1,0.00,0.00,0.00,0.09,9.4,14.8,3.5,5.7,8.6,14.0,0
2021-01-04T21:00,-1.6,0.00,0.00,0.00,0.08,8.7,14.8,2.8,5.5,8.6,14.0,0
2021-01-04T22:00,-2.0,0.00,0.00,0.00,0.07,7.1,14.8,2.3,5.4,8.6,14.0,0
2021-01-04T23:00,-2.6,0.00,0.00,0.00,0.06,6.1,13.3,1.9,5.2,8.6,14.0,0
2021-01-05T00:00,-2.8,0.00,0.00,0.00,0.06,6.3,12.2,2.4,5.3,8.6,14.0,0
2021-01-05T01:00,-3.3,0.00,0.00,0.00,0.06,5.8,13.3,1.9,5.1,8.6,14.0,0
2021-01-05T02:00,-3.9,0.00,0.00,0.00,0.05,5.2,11.9,1.4,5.0,8.6,14.0,0
2021-01-05T03:00,-4.4,0.00,0.00,0.00,0.05,5.0,10.8,1.0,4.8,8.5,14.0,0
2021-01-05T04:00,-4.9,0.00,0.00,0.00,0.05,4.7,10.1,0.6,4.6,8.5,13.9,0
2021-01-05T05:00,-5.0,0.00,0.00,0.00,0.05,5.0,10.1,0.5,4.4,8.5,13.9,0
2021-01-05T06:00,-5.1,0.00,0.00,0.00,0.05,5.0,10.4,0.4,4.2,8.5,13.9,0
2021-01-05T07:00,-5.4,0.00,0.00,0.00,0.05,5.0,10.1,0.3,4.0,8.5,13.9,0
2021-01-05T08:00,-5.5,0.00,0.00,0.00,0.04,5.2,9.7,0.2,3.8,8.5,13.9,0
2021-01-05T09:00,-3.5,0.00,0.00,0.01,0.08,6.3,11.9,0.2,3.7,8.5,13.9,1
2021-01-05T10:00,-1.1,0.00,0.00,0.05,0.17,3.7,12.2,0.5,3.5,8.4,13.9,1
2021-01-05T11:00,-0.7,0.00,0.00,0.11,0.30,1.8,10.8,2.2,3.5,8.4,13.9,1
2021-01-05T12:00,-0.4,0.00,0.00,0.15,0.35,1.3,10.4,2.6,3.5,8.4,13.9,1
2021-01-05T13:00,-0.2,0.00,0.00,0.18,0.41,0.8,10.8,4.6,3.6,8.4,13.9,1
2021-01-05T14:00,-0.5,0.00,0.00,0.17,0.46,0.8,10.1,5.9,3.9,8.4,13.9,1
2021-01-05T15:00,-0.8,0.00,0.00,0.14,0.49,2.2,9.4,6.6,4.1,8.3,13.9,1
2021-01-05T16:00,0.3,0.00,0.00,0.08,0.42,2.5,9.4,6.6,4.4,8.3,13.9,1
2021-01-05T17:00,-0.7,0.00,0.00,0.03,0.43,3.3,5.8,5.7,4.6,8.3,13.9,1
2021-01-05T18:00,-0.7,0.00,0.00,0.02,0.36,2.1,5.4,4.3,4.7,8.3,13.9,0
2021-01-05T19:00,-1.4,0.00,0.00,0.00,0.21,4.5,6.5,3.3,4.7,8.3,13.9,0
2021-01-05T20:00,-2.1,0.00,0.00,0.00,0.10,7.5,10.8,2.6,4.7,8.3,13.9,0
2021-01-05T21:00,-2.4,0.00,0.00,0.00,0.07,6.6,11.9,2.0,4.6,8.3,13.9,0
2021-01-05T22:00,-2.9,0.00,0.00,0.00,0.06,6.3,11.5,1.6,4.5,8.3,13.9,0
2021-01-05T23:00,-3.4,0.00,0.00,0.00,0.05,5.6,10.8,1.2,4.3,8.2,13.9,0
2021-01-06T00:00,-3.3,0.00,0.00,0.00,0.04,6.2,10.4,1.7,4.5,8.2,13.9,0
2021-01-06T01:00,-3.7,0.00,0.00,0.00,0.04,4.9,11.5,1.2,4.3,8.2,13.8,0
2021-01-06T02:00,-3.9,0.00,0.00,0.00,0.05,5.2,10.4,0.8,4.2,8.2,13.8,0
2021-01-06T03:00,-4.1,0.00,0.00,0.00,0.06,5.9,11.5,0.6,4.0,8.2,13.8,0
2021-01-06T04:00,-4.2,0.00,0.00,0.00,0.06,6.6,12.2,0.5,3.9,8.2,13.8,0
2021-01-06T05:00,-4.2,0.00,0.00,0.00,0.07,6.9,12.6,0.4,3.7,8.2,13.8,0
2021-01-06T06:00,-4.2,0.00,0.00,0.00,0.07,6.6,13.0,0.3,3.6,8.2,13.8,0
2021-01-06T07:00,-4.2,0.00,0.00,0.00,0.07,6.6,12.6,0.3,3.4,8.1,13.8,0
2021-01-06T08:00,-4.3,0.00,0.00,0.00,0.07,6.6,12.6,0.2,3.3,8.1,13.8,0
2021-01-06T09:00,-2.4,0.00,0.00,0.01,0.11,6.2,12.6,0.2,3.2,8.1,13.8,1
2021-01-06T10:00,-0.6,0.00,0.00,0.06,0.20,5.4,14.0,0.5,3.1,8.1,13.8,1
2021-01-06T11:00,0.1,0.00,0.00,0.12,0.34,5.4,14.4,2.3,3.1,8.1,13.8,1
2021-01-06T12:00,0.1,0.00,0.00,0.16,0.43,7.7,18.0,3.6,3.3,8.0,13.8,1
2021-01-06T13:00,-0.2,0.00,0.00,0.19,0.51,6.5,18.7,5.2,3.4,8.0,13.8,1
2021-01-06T14:00,-0.9,0.00,0.00,0.18,0.58,4.8,17.3,6.3,3.7,8.0,13.8,1
2021-01-06T15:00,-1.2,0.00,0.00,0.15,0.60,4.1,14.0,6.9,4.0,8.0,13.8,1
2021-01-06T16:00,1.4,0.00,0.00,0.09,0.43,3.6,11.2,6.8,4.3,8.0,13.8,1
2021-01-06T17:00,0.8,0.00,0.00,0.03,0.20,8.3,12.2,5.9,4.5,8.0,13.8,1
2021-01-06T18:00,0.0,0.00,0.00,0.03,0.32,5.4,12.2,4.5,4.6,8.0,13.8,0
2021-01-06T19:00,-1.7,0.00,0.00,0.00,0.12,7.5,11.9,3.4,4.7,8.0,13.8,0
2021-01-06T20:00,-2.1,0.00,0.00,0.00,0.10,6.6,13.0,2.6,4.6,8.0,13.7,0
2021-01-06T21:00,-2.6,0.00,0.00,0.00,0.10,7.1,15.1,2.1,4.5,7.9,13.7,0
2021-01-06T22:00,-3.1,0.00,0.00,0.00,0.10,7.2,15.5,1.7,4.4,7.9,13.7,0
2021-01-06T23:00,-3.6,0.00,0.00,0.00,0.09,6.2,15.1,1.3,4.3,7.9,13.7,0
2021-01-07T00:00,-3.1,0.00,0.00,0.00,0.09,7.6,13.7,1.9,4.4,7.9,13.7,0
2021-01-07T01:00,-3.3,0.00,0.00,0.00,0.10,7.1,15.8,1.5,4.3,7.9,13.7,0
2021-01-07T02:00,-3.9,0.00,0.00,0.00,0.10,6.6,14.8,1.1,4.1,7.9,13.7,0
2021-01-07T03:00,-4.3,0.00,0.00,0.00,0.09,6.6,14.0,0.7,4.0,7.9,13.7,0
2021-01-07T04:00,-4.7,0.00,0.00,0.00,0.09,7.2,14.0,0.5,3.8,7.9,13.7,0
2021-01-07T05:00,-4.9,0.00,0.00,0.00,0.08,6.9,13.7,0.4,3.7,7.9,13.7,0
2021-01-07T06:00,-5.0,0.00,0.00,0.00,0.09,6.5,13.3,0.3,3.5,7.9,13.7,0
2021-01-07T07:00,-5.4,0.00,0.00,0.00,0.08,7.0,13.0,0.2,3.4,7.8,13.7,0
2021-01-07T08:00,-5.5,0.00,0.00,0.00,0.09,7.0,12.6,0.2,3.3,7.8,13.7,0
2021-01-07T09:00,-3.4,0.00,0.00,0.01,0.14,5.5,12.6,0.2,3.1,7.8,13.7,1
2021-01-07T10:00,-1.3,0.00,0.00,0.06,0.22,4.9,13.7,0.4,3.0,7.8,13.7,1
2021-01-07T11:00,-0.3,0.00,0.00,0.12,0.34,2.6,12.6,2.0,3.0,7.8,13.7,1
2021-01-07T12:00,-0.3,0.00,0.00,0.17,0.43,3.1,12.2,2.9,3.2,7.8,13.7,1
2021-01-07T13:00,-0.4,0.00,0.00,0.19,0.49,4.0,13.7,4.8,3.4,7.7,13.7,1
2021-01-07T14:00,-0.5,0.00,0.00,0.18,0.52,6.3,16.2,6.0,3.6,7.7,13.7,1
2021-01-07T15:00,-0.6,0.00,0.00,0.15,0.52,7.7,17.3,6.6,3.9,7.7,13.6,1
2021-01-07T16:00,1.0,0.00,0.00,0.09,0.41,6.1,17.3,6.5,4.2,7.7,13.6,1
2021-01-07T17:00,0.4,0.00,0.00,0.03,0.17,9.8,13.3,5.6,4.4,7.7,13.6,1
2021-01-07T18:00,-1.1,0.00,0.00,0.03,0.26,8.3,14.4,4.2,4.5,7.7,13.6,0
2021-01-07T19:00,-2.4,0.00,0.00,0.01,0.16,9.1,15.8,3.1,4.5,7.7,13.6,0
2021-01-07T20:00,-3.8,0.00,0.00,0.01,0.20,7.7,15.5,2.4,4.4,7.7,13.6,0
2021-01-07T21:00,-4.1,0.00,0.00,0.01,0.16,7.9,16.9,1.9,4.3,7.7,13.6,0
2021-01-07T22:00,-4.1,0.00,0.00,0.00,0.11,7.0,16.9,1.5,4.2,7.7,13.6,0
2021-01-07T23:00,-4.6,0.00,0.00,0.00,0.10,6.5,15.1,1.0,4.1,7.6,13.6,0
2021-01-08T00:00,-4.1,0.00,0.00,0.00,0.09,8.9,14.8,1.5,4.2,7.7,13.6,0
2021-01-08T01:00,-4.5,0.00,0.00,0.00,0.11,7.0,18.4,1.0,4.1,7.6,13.6,0
2021-01-08T02:00,-5.0,0.00,0.00,0.00,0.11,7.6,15.8,0.6,3.9,7.6,13.6,0
2021-01-08T03:00,-5.5,0.00,0.00,0.00,0.11,8.0,16.6,0.4,3.8,7.6,13.6,0
